Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  | Auth. (ms) |
|    166    |  0.01382828  |  0.00596046  |   0.02384186   |  | 0.11181831 |
|    167    |  0.01287460  |  0.00524521  |   0.01907349   |  | 0.10251999 |
|    168    |  0.01263618  |  0.00548363  |   0.01978874   |  | 0.10657310 |
|    169    |  0.01740456  |  0.00715256  |   0.03194809   |  | 0.15163422 |
|    170    |  0.01406670  |  0.00524521  |   0.01955032   |  | 0.10752678 |
|    171    |  0.01692772  |  0.00524521  |   0.02145767   |  | 0.10848045 |
|    172    |  0.01263618  |  0.00596046  |   0.01955032   |  | 0.10681152 |
|    173    |  0.01502037  |  0.00691414  |   0.02527237   |  | 0.13709068 |
|    174    |  0.01239777  |  0.00667572  |   0.02384186   |  | 0.12183189 |
|    175    |  0.03314018  |  0.00596046  |   0.02980232   |  | 0.19001961 |
|    176    |  0.03695488  |  0.00762939  |   0.03600121   |  | 0.22315979 |
|    177    |  0.03647804  |  0.00739098  |   0.05054474   |  | 0.22721291 |
|    178    |  0.03767014  |  0.00905991  |   0.03814697   |  | 0.23698807 |
|    179    |  0.03099442  |  0.00548363  |   0.03027916   |  | 0.19669533 |
|    180    |  0.03623962  |  0.00929832  |   0.03600121   |  | 0.22149086 |
|    181    |  0.03719330  |  0.00739098  |   0.03695488   |  | 0.21266937 |
|    182    |  0.03767014  |  0.00858307  |   0.06079674   |  | 0.24032593 |
|    183    |  0.03671646  |  0.00762939  |   0.03600121   |  | 0.21171570 |
|    184    |  0.03600121  |  0.01001358  |   0.03743172   |  | 0.28061867 |
|    185    |  0.03767014  |  0.00786781  |   0.04839897   |  | 0.24008751 |
|    186    |  0.03600121  |  0.00762939  |   0.03623962   |  | 0.21195412 |
|    187    |  0.03647804  |  0.00596046  |   0.03623962   |  | 0.21696091 |
|    188    |  0.03337860  |  0.00596046  |   0.03862381   |  | 0.19598007 |
|    189    |  0.03647804  |  0.00786781  |   0.03647804   |  | 0.22387505 |
|    190    |  0.03266335  |  0.00596046  |   0.04935265   |  | 0.19478798 |
|    191    |  0.03194809  |  0.00596046  |   0.03004074   |  | 0.17476082 |
|    192    |  0.03242493  |  0.00596046  |   0.03814697   |  | 0.19526482 |
|    193    |  0.02121925  |  0.00858307  |   0.03385544   |  | 0.17166138 |
|    194    |  0.01335144  |  0.00572205  |   0.01931190   |  | 0.10442734 |
|    195    |  0.01811981  |  0.01144409  |   0.02789497   |  | 0.15306473 |
|    196    |  0.01454353  |  0.00786781  |   0.02574921   |  | 0.14638901 |
|    197    |  0.01931190  |  0.01835823  |   0.02980232   |  | 0.18119812 |
|    198    |  0.01716614  |  0.00739098  |   0.02789497   |  | 0.14662743 |
|    199    |  0.01049042  |  0.00500679  |   0.01788139   |  | 0.09632111 |
|    200    |  0.01430511  |  0.00596046  |   0.01931190   |  | 0.11634827 |
|    201    |  0.04673004  |  0.00834465  |   0.04649162   |  | 0.23412704 |
|    202    |  0.03767014  |  0.00858307  |   0.03957748   |  | 0.22578239 |
|    203    |  0.03719330  |  0.01096725  |   0.03671646   |  | 0.21672249 |
|    204    |  0.01454353  |  0.00572205  |   0.01955032   |  | 0.11372566 |
|    205    |  0.02193451  |  0.00858307  |   0.02908707   |  | 0.17523766 |
