Device 1 (D1) start connection to server
   D1 sends M1 to Server: (1, b'\xf4\x00I\xe8w\x8f\x15+\x99\xde\xac\x06v\x85\x0fN')
Server refuse Device 1, already connected


Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+-------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  |  Auth. (ms) |
|    248    |  0.02169609  |  0.00882149  |   0.03576279   |  |  0.18286705 |
|    249    |  0.02121925  |  0.00834465  |   0.02932549   |  |  0.18000603 |
|    250    |  0.02145767  |  0.01311302  |   0.02956390   |  |  0.18239021 |
|    251    |  0.02145767  |  0.00953674  |   0.02980232   |  |  0.17237663 |
|    252    |  0.01525879  |  0.00643730  |   0.02312660   |  |  0.12493134 |
|    253    |  0.02121925  |  0.00905991  |   0.03480911   |  |  0.17857552 |
|    254    |  0.02121925  |  0.00882149  |   0.02956390   |  |  0.17261505 |
|    255    |  0.02145767  |  0.00977516  |   0.02956390   |  |  0.17786026 |
|    256    |  0.02121925  |  0.00929832  |   0.03576279   |  |  0.18262863 |
|    257    |  0.02646446  |  0.00834465  |   0.02956390   |  |  0.17690659 |
|    258    |  0.02241135  |  0.01001358  |   0.03051758   |  |  0.18620491 |
|    259    |  0.02145767  |  0.00905991  |   0.03457069   |  |  0.18715858 |
|    260    |  0.02551079  |  0.00858307  |   0.03218651   |  |  0.18477440 |
|    261    |  0.02145767  |  0.00810623  |   0.03695488   |  |  0.17833710 |
|    262    |  0.02145767  |  0.00929832  |   0.03170967   |  |  0.18715858 |
|    263    |  0.02956390  |  0.00905991  |   0.03194809   |  |  0.18453598 |
|    264    |  0.01955032  |  0.00572205  |   0.02408028   |  |  0.13136864 |
|    265    |  0.02145767  |  0.01621246  |   0.02980232   |  |  0.18143654 |
|    266    |  0.02145767  |  0.00905991  |   0.03314018   |  |  0.18668175 |
|    267    |  0.02169609  |  0.00953674  |   0.03957748   |  |  0.18453598 |
|    268    |  0.02098083  |  0.00929832  |   0.03957748   |  |  0.18262863 |
|    269    |  0.02121925  |  0.00810623  |   0.03457069   |  |  0.17809868 |
|    270    |  0.02169609  |  0.00953674  |   0.02932549   |  |  0.17452240 |
|    271    |  0.02646446  |  0.00834465  |   0.03004074   |  |  0.17809868 |
|    272    |  0.02121925  |  0.00977516  |   0.03194809   |  |  0.17404556 |
|    273    |  0.01311302  |  0.00524521  |   0.01764297   |  |  0.10251999 |
|    274    |  0.04220009  |  0.01025200  |   0.02980232   |  |  0.21839142 |
|    275    |  0.02193451  |  0.00858307  |   0.03504753   |  |  0.18405914 |
|    276    |  0.02169609  |  0.00882149  |   0.03027916   |  |  0.17333031 |
|    277    |  0.02765656  |  0.00905991  |   0.03385544   |  |  0.19073486 |
|    278    |  0.02169609  |  0.00882149  |   0.02956390   |  |  0.17428398 |
|    279    |  0.02217293  |  0.00953674  |   0.03170967   |  |  0.18358231 |
|    280    |  0.02193451  |  0.00905991  |   0.03314018   |  |  0.18286705 |
|    281    |  0.02241135  |  0.01001358  |   0.03004074   |  |  0.18763542 |
|    282    |  0.02145767  |  0.00834465  |   0.02980232   |  |  0.17738342 |
|    283    |  0.02121925  |  0.00858307  |   0.03004074   |  |  0.17237663 |
|    284    |  0.02145767  |  0.00882149  |   0.03409386   |  |  0.18644333 |
|    285    |  0.02169609  |  0.00905991  |   0.03314018   |  |  0.18358231 |
|    286    |  0.02169609  |  0.00834465  |   0.03027916   |  |  0.17929077 |
|    287    |  0.02241135  |  0.00858307  |   0.03004074   |  |  0.19383430 |
|    288    |  0.02145767  |  0.00858307  |   0.03695488   |  |  0.18239021 |
|    289    |  0.02264977  |  0.00905991  |   0.03027916   |  |  0.19025803 |
|    290    |  0.02980232  |  0.00977516  |   0.02980232   |  |  0.18930435 |
|    291    |  0.02145767  |  0.00834465  |   0.03528595   |  |  0.17976761 |
|    292    |  0.02145767  |  0.00810623  |   0.02980232   |  |  0.17333031 |
|    293    |  0.02193451  |  0.01692772  |   0.03623962   |  |  0.18906593 |
|    294    |  0.02193451  |  0.00834465  |   0.03170967   |  |  0.17905235 |
|    295    |  0.01287460  |  0.00500679  |   0.01859665   |  |  0.10943413 |
|    296    |  0.03075600  |  0.00905991  |   0.03719330   |  |  0.19264221 |
|    297    |  0.02193451  |  0.00953674  |   0.02861023   |  |  0.18525124 |
|    298    |  0.02193451  |  0.00858307  |   0.02980232   |  |  0.18215179 |
|    299    |  0.02217293  |  0.01239777  |   0.03504753   |  |  0.19693375 |
|    300    |  0.02694130  |  0.00834465  |   0.03004074   |  |  0.17929077 |
|    301    |  0.02145767  |  0.01025200  |   0.02980232   |  |  0.18262863 |
|    302    |  0.02145767  |  0.01645088  |   0.02980232   |  |  0.18262863 |
|    303    |  0.02217293  |  0.00882149  |   0.03027916   |  |  0.18620491 |
|    304    |  0.02169609  |  0.00882149  |   0.03480911   |  |  0.18048286 |
|    305    |  0.02193451  |  0.00882149  |   0.03671646   |  |  0.18978119 |
|    306    |  0.02169609  |  0.00905991  |   0.02908707   |  |  0.18239021 |
