

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
|    192    |  0.02288818  | 0.36430359 |  0.84066391 |  | 2.40540504 |
|    193    |  0.02264977  | 0.35929680 |  0.83637238 |  | 2.40635872 |
|    194    |  0.02217293  | 0.35905838 |  0.84352493 |  | 2.40659714 |
|    195    |  0.02288818  | 0.36096573 |  0.83994865 |  | 2.40898132 |
|    196    |  0.02241135  | 0.35953522 |  0.84185600 |  | 2.40635872 |
|    197    |  0.02264977  | 0.36096573 |  0.84280968 |  | 2.40707397 |
|    198    |  0.02288818  | 0.36549568 |  0.85115433 |  | 2.42757797 |
|    199    |  0.02360344  | 0.36811829 |  0.84877014 |  | 2.43163109 |
|    200    |  0.02288818  | 0.36525726 |  0.84471703 |  | 2.42924690 |
|    201    |  0.02336502  | 0.36501884 |  0.84114075 |  | 2.41374969 |
|    202    |  0.02264977  | 0.35881996 |  0.84280968 |  | 2.40802765 |
|    203    |  0.02241135  | 0.36716461 |  0.84066391 |  | 2.40921974 |
|    204    |  0.02264977  | 0.35786629 |  0.83756447 |  | 2.40349770 |
|    205    |  0.02264977  | 0.36215782 |  0.84209442 |  | 2.40969658 |
|    206    |  0.02241135  | 0.36096573 |  0.84114075 |  | 2.40492821 |
|    207    |  0.02217293  | 0.36191940 |  0.83971024 |  | 2.41494179 |
|    208    |  0.02288818  | 0.36025047 |  0.84114075 |  | 2.40969658 |
|    209    |  0.02264977  | 0.36358833 |  0.84114075 |  | 2.41327286 |
|    210    |  0.02264977  | 0.35977364 |  0.83827972 |  | 2.40254402 |
|    211    |  0.02241135  | 0.36454201 |  0.84161758 |  | 2.41088867 |
|    212    |  0.02288818  | 0.36048889 |  0.84042549 |  | 2.40921974 |
|    213    |  0.02241135  | 0.35881996 |  0.84090233 |  | 2.40111351 |
|    214    |  0.02241135  | 0.36239624 |  0.84304810 |  | 2.40945816 |
|    215    |  0.02193451  | 0.36001205 |  0.84114075 |  | 2.40945816 |
|    216    |  0.02264977  | 0.35905838 |  0.84137917 |  | 2.40850449 |
|    217    |  0.02241135  | 0.36549568 |  0.84471703 |  | 2.41899490 |
|    218    |  0.02264977  | 0.36120415 |  0.84137917 |  | 2.42066383 |
|    219    |  0.02241135  | 0.36025047 |  0.84185600 |  | 2.40802765 |
|    220    |  0.02264977  | 0.36454201 |  0.85115433 |  | 2.42543221 |
|    221    |  0.02241135  | 0.36168098 |  0.84519386 |  | 2.41279602 |
|    222    |  0.02288818  | 0.36096573 |  0.84018707 |  | 2.41589546 |
|    223    |  0.02241135  | 0.36215782 |  0.84567070 |  | 2.41494179 |
|    224    |  0.02217293  | 0.35977364 |  0.84400177 |  | 2.40635872 |
|    225    |  0.02217293  | 0.36501884 |  0.84257126 |  | 2.41374969 |
|    226    |  0.02264977  | 0.35929680 |  0.84090233 |  | 2.40707397 |
|    227    |  0.02217293  | 0.36025047 |  0.84137917 |  | 2.41112709 |
|    228    |  0.02264977  | 0.36311150 |  0.84376335 |  | 2.41255760 |
|    229    |  0.02288818  | 0.36382675 |  0.83875656 |  | 2.41613388 |
|    230    |  0.02288818  | 0.35762787 |  0.84114075 |  | 2.40397453 |
|    231    |  0.02288818  | 0.36406517 |  0.84304810 |  | 2.41065025 |
|    232    |  0.02264977  | 0.35810471 |  0.84376335 |  | 2.40755081 |
|    233    |  0.02217293  | 0.36072731 |  0.84280968 |  | 2.41708755 |
|    234    |  0.02241135  | 0.36168098 |  0.84328651 |  | 2.41136551 |
|    235    |  0.02241135  | 0.35929680 |  0.84519386 |  | 2.40564346 |
|    236    |  0.02264977  | 0.36263466 |  0.84137917 |  | 2.40683556 |
|    237    |  0.02264977  | 0.35977364 |  0.82731247 |  | 2.39825249 |
|    238    |  0.02217293  | 0.35810471 |  0.84304810 |  | 2.41589546 |
|    239    |  0.02241135  | 0.36406517 |  0.84352493 |  | 2.41422653 |
|    240    |  0.02288818  | 0.35953522 |  0.84114075 |  | 2.41184235 |
|    241    |  0.02264977  | 0.36096573 |  0.84280968 |  | 2.41041183 |
|    242    |  0.02336502  | 0.36621094 |  0.84304810 |  | 2.42066383 |
|    243    |  0.02312660  | 0.36120415 |  0.84114075 |  | 2.40826607 |
|    244    |  0.02241135  | 0.36096573 |  0.84400177 |  | 2.40969658 |
|    245    |  0.02312660  | 0.36501884 |  0.84209442 |  | 2.40993500 |
|    246    |  0.02312660  | 0.35977364 |  0.83851814 |  | 2.40778923 |
|    247    |  0.02217293  | 0.36692619 |  1.08790398 |  | 2.66146660 |
|    248    |  0.03290176  | 0.38671494 |  0.83994865 |  | 2.44069099 |
|    249    |  0.02527237  | 0.36001205 |  0.85234642 |  | 2.67362595 |
|    250    |  0.02622604  | 0.36501884 |  0.84114075 |  | 2.41971016 |
|    251    |  0.02384186  | 0.36144257 |  0.84519386 |  | 2.41065025 |
|    252    |  0.02360344  | 0.36478043 |  0.83971024 |  | 2.41088867 |
|    253    |  0.02312660  | 0.35548210 |  0.83994865 |  | 2.39825249 |
|    254    |  0.02264977  | 0.36001205 |  0.83756447 |  | 2.39706039 |
|    255    |  0.02288818  | 0.35500526 |  0.83422661 |  | 2.38990784 |
|    256    |  0.02312660  | 0.35810471 |  0.83947182 |  | 2.39825249 |
